Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Format,Toss Winner,Toss Decision,Random Toss Decision
Pakistan,India,drawn,,Bahawalpur,"Jan 15-18, 1955",Test # 395,Test ,Pakistan,Bat,Bat
Pakistan,India,drawn,,Dhaka,"Jan 1-4, 1955",Test # 394,Test ,Pakistan,Bat,Bowl
India,Pakistan,drawn,,Eden Gardens,"Dec 12-15, 1952",Test # 360,Test ,India,Bat,Bat
India,Pakistan,drawn,,Chennai,"Nov 28-Dec 1, 1952",Test # 358,Test ,India,Bat,Bowl
India,Pakistan,India,10 wickets,Brabourne,"Nov 13-16, 1952",Test # 357,Test ,India,Bat,Bowl
India,Pakistan,Pakistan,inns & 43 runs,Lucknow,"Oct 23-26, 1952",Test # 356,Test ,India,Bat,Bat
India,Pakistan,India,inns & 70 runs,Delhi,"Oct 16-18, 1952",Test # 355,Test ,India,Bat,Bat
India,Pakistan,India,6 wickets,Dubai (DICS),23-Feb-25,ODI # 4847,ODI ,India,Bat,Bat
India,Pakistan,India,7 wickets,Ahmedabad,14-Oct-23,ODI # 4669,ODI ,India,Bat,Bat
India,Pakistan,India,228 runs,Colombo (RPS),"Sep 10-11, 2023",ODI # 4639,ODI ,India,Bat,Bat
India,Pakistan,no result,,Pallekele,2-Sep-23,ODI # 4630,ODI ,India,Bat,Bat
India,Pakistan,India,89 runs,Manchester,16-Jun-19,ODI # 4161,ODI ,India,Bat,Bat
India,Pakistan,India,9 wickets,Dubai (DICS),23-Sep-18,ODI # 4044,ODI ,India,Bat,Bat
India,Pakistan,India,8 wickets,Dubai (DICS),19-Sep-18,ODI # 4040,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,180 runs,The Oval,18-Jun-17,ODI # 3894,ODI ,India,Bat,Bowl
India,Pakistan,India,124 runs,Birmingham,4-Jun-17,ODI # 3878,ODI ,India,Bat,Bat
India,Pakistan,India,76 runs,Adelaide,15-Feb-15,ODI # 3602,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,1 wicket,Mirpur,2-Mar-14,ODI # 3479,ODI ,India,Bat,Bowl
India,Pakistan,India,8 wickets,Birmingham,15-Jun-13,ODI # 3372,ODI ,India,Bat,Bowl
India,Pakistan,India,10 runs,Delhi,6-Jan-13,ODI # 3316,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,85 runs,Eden Gardens,3-Jan-13,ODI # 3315,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,6 wickets,Chennai,30-Dec-12,ODI # 3314,ODI ,India,Bat,Bowl
India,Pakistan,India,6 wickets,Mirpur,18-Mar-12,ODI # 3263,ODI ,India,Bat,Bat
India,Pakistan,India,29 runs,Mohali,30-Mar-11,ODI # 3147,ODI ,India,Bat,Bowl
India,Pakistan,India,3 wickets,Dambulla,19-Jun-10,ODI # 2996,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,54 runs,Centurion,26-Sep-09,ODI # 2898,ODI ,India,Bat,Bowl
Pakistan,India,Pakistan,8 wickets,Karachi,2-Jul-08,ODI # 2730,ODI ,Pakistan,Bat,Bat
Pakistan,India,India,6 wickets,Karachi,26-Jun-08,ODI # 2717,ODI ,Pakistan,Bat,Bowl
India,Pakistan,Pakistan,25 runs,Mirpur,14-Jun-08,ODI # 2707,ODI ,India,Bat,Bat
India,Pakistan,India,140 runs,Mirpur,10-Jun-08,ODI # 2705,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,31 runs,Jaipur,18-Nov-07,ODI # 2647,ODI ,India,Bat,Bat
India,Pakistan,India,6 wickets,Gwalior,15-Nov-07,ODI # 2646,ODI ,India,Bat,Bowl
India,Pakistan,India,46 runs,Kanpur,11-Nov-07,ODI # 2645,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,4 wickets,Mohali,8-Nov-07,ODI # 2644,ODI ,India,Bat,Bat
India,Pakistan,India,5 wickets,Guwahati,5-Nov-07,ODI # 2643,ODI ,India,Bat,Bowl
India,Pakistan,India,51 runs,Abu Dhabi,19-Apr-06,ODI # 2364,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,6 wickets,Abu Dhabi,18-Apr-06,ODI # 2363,ODI ,India,Bat,Bowl
Pakistan,India,India,8 wickets,Karachi,19-Feb-06,ODI # 2333,ODI ,Pakistan,Bat,Bowl
Pakistan,India,India,5 wickets,Multan,16-Feb-06,ODI # 2331,ODI ,Pakistan,Bat,Bowl
Pakistan,India,India,5 wickets,Lahore,13-Feb-06,ODI # 2329,ODI ,Pakistan,Bat,Bowl
Pakistan,India,India,7 wickets,Rawalpindi,11-Feb-06,ODI # 2327,ODI ,Pakistan,Bat,Bowl
Pakistan,India,Pakistan,7 runs,Peshawar,6-Feb-06,ODI # 2324,ODI ,Pakistan,Bat,Bowl
India,Pakistan,Pakistan,159 runs,Delhi,17-Apr-05,ODI # 2240,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,5 wickets,Kanpur,15-Apr-05,ODI # 2239,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,3 wickets,Ahmedabad,12-Apr-05,ODI # 2238,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,106 runs,Jamshedpur,9-Apr-05,ODI # 2237,ODI ,India,Bat,Bowl
India,Pakistan,India,58 runs,Visakhapatnam,5-Apr-05,ODI # 2236,ODI ,India,Bat,Bowl
India,Pakistan,India,87 runs,Kochi,2-Apr-05,ODI # 2235,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,6 wickets,Eden Gardens,13-Nov-04,ODI # 2192,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,3 wickets,Birmingham,19-Sep-04,ODI # 2179,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,66 runs,Amstelveen,21-Aug-04,ODI # 2157,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,59 runs,Colombo (RPS),25-Jul-04,ODI # 2152,ODI ,India,Bat,Bowl
Pakistan,India,India,40 runs,Lahore,24-Mar-04,ODI # 2117,ODI ,Pakistan,Bat,Bowl
Pakistan,India,India,5 wickets,Lahore,21-Mar-04,ODI # 2116,ODI ,Pakistan,Bat,Bowl
Pakistan,India,Pakistan,4 wickets,Peshawar,19-Mar-04,ODI # 2115,ODI ,Pakistan,Bat,Bowl
Pakistan,India,Pakistan,12 runs,Rawalpindi,16-Mar-04,ODI # 2114,ODI ,Pakistan,Bat,Bowl
Pakistan,India,India,5 runs,Karachi,13-Mar-04,ODI # 2112,ODI ,Pakistan,Bat,Bowl
India,Pakistan,India,6 wickets,Centurion,1-Mar-03,ODI # 1975,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,44 runs,Dhaka,3-Jun-00,ODI # 1600,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,98 runs,Sharjah,26-Mar-00,ODI # 1580,ODI ,India,Bat,Bat
India,Pakistan,India,5 wickets,Sharjah,23-Mar-00,ODI # 1578,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,104 runs,W.A.C.A,28-Jan-00,ODI # 1550,ODI ,India,Bat,Bowl
India,Pakistan,India,48 runs,Adelaide,25-Jan-00,ODI # 1547,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,32 runs,Hobart,21-Jan-00,ODI # 1543,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,2 wickets,Brisbane,10-Jan-00,ODI # 1537,ODI ,India,Bat,Bat
India,Pakistan,India,47 runs,Manchester,8-Jun-99,ODI # 1476,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,8 wickets,Sharjah,16-Apr-99,ODI # 1437,ODI ,India,Bat,Bowl
India,Pakistan,India,6 wickets,Sharjah,13-Apr-99,ODI # 1435,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,116 runs,Sharjah,8-Apr-99,ODI # 1430,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,123 runs,Bengaluru,4-Apr-99,ODI # 1428,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,7 wickets,Mohali,1-Apr-99,ODI # 1427,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,143 runs,Jaipur,24-Mar-99,ODI # 1417,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,5 wickets,Toronto,20-Sep-98,ODI # 1353,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,134 runs,Toronto,19-Sep-98,ODI # 1352,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,77 runs,Toronto,16-Sep-98,ODI # 1351,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,51 runs,Toronto,13-Sep-98,ODI # 1350,ODI ,India,Bat,Bat
India,Pakistan,India,6 wickets,Toronto,12-Sep-98,ODI # 1349,ODI ,India,Bat,Bowl
India,Pakistan,India,3 wickets,Dhaka,18-Jan-98,ODI # 1279,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,6 wickets,Dhaka,16-Jan-98,ODI # 1277,ODI ,India,Bat,Bowl
India,Pakistan,India,8 wickets,Dhaka,14-Jan-98,ODI # 1276,ODI ,India,Bat,Bat
India,Pakistan,India,18 runs,Dhaka,11-Jan-98,ODI # 1273,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,4 wickets,Sharjah,14-Dec-97,ODI # 1262,ODI ,India,Bat,Bat
Pakistan,India,Pakistan,9 wickets,Lahore,2-Oct-97,ODI # 1236,ODI ,Pakistan,Bat,Bat
Pakistan,India,India,4 wickets,Karachi,30-Sep-97,ODI # 1234,ODI ,Pakistan,Bat,Bat
Pakistan,India,Pakistan,5 wickets,Hyderabad (Sind),28-Sep-97,ODI # 1233,ODI ,Pakistan,Bat,Bat
India,Pakistan,Pakistan,5 wickets,Toronto,21-Sep-97,ODI # 1232,ODI ,India,Bat,Bat
India,Pakistan,India,7 wickets,Toronto,20-Sep-97,ODI # 1231,ODI ,India,Bat,Bat
India,Pakistan,India,34 runs,Toronto,18-Sep-97,ODI # 1230,ODI ,India,Bat,Bat
India,Pakistan,no result,,Toronto,17-Sep-97,ODI # 1229,ODI ,India,Bat,Bowl
India,Pakistan,India,7 wickets,Toronto,14-Sep-97,ODI # 1228,ODI ,India,Bat,Bat
India,Pakistan,India,20 runs,Toronto,13-Sep-97,ODI # 1227,ODI ,India,Bat,Bowl
India,Pakistan,no result,,Colombo (SSC),20-Jul-97,ODI # 1219,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,35 runs,Chennai,21-May-97,ODI # 1209,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,52 runs,Toronto,23-Sep-96,ODI # 1119,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,97 runs,Toronto,21-Sep-96,ODI # 1118,ODI ,India,Bat,Bat
India,Pakistan,India,55 runs,Toronto,18-Sep-96,ODI # 1117,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,2 wickets,Toronto,17-Sep-96,ODI # 1116,ODI ,India,Bat,Bat
India,Pakistan,India,8 wickets,Toronto,16-Sep-96,ODI # 1115,ODI ,India,Bat,Bowl
India,Pakistan,India,28 runs,Sharjah,15-Apr-96,ODI # 1098,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,38 runs,Sharjah,12-Apr-96,ODI # 1094,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,8 wickets,Singapore,5-Apr-96,ODI # 1091,ODI ,India,Bat,Bat
India,Pakistan,India,39 runs,Bengaluru,9-Mar-96,ODI # 1078,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,97 runs,Sharjah,7-Apr-95,ODI # 995,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,39 runs,Sharjah,22-Apr-94,ODI # 912,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,6 wickets,Sharjah,15-Apr-94,ODI # 906,ODI ,India,Bat,Bat
India,Pakistan,India,43 runs,Sydney,4-Mar-92,ODI # 729,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,72 runs,Sharjah,25-Oct-91,ODI # 685,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,4 runs,Sharjah,23-Oct-91,ODI # 684,ODI ,India,Bat,Bowl
India,Pakistan,India,60 runs,Sharjah,18-Oct-91,ODI # 680,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,26 runs,Sharjah,27-Apr-90,ODI # 625,ODI ,India,Bat,Bat
Pakistan,India,Pakistan,38 runs,Lahore,22-Dec-89,ODI # 595,ODI ,Pakistan,Bat,Bowl
Pakistan,India,no result,,Karachi,20-Dec-89,ODI # 594,ODI ,Pakistan,Bat,Bowl
Pakistan,India,Pakistan,7 runs,Gujranwala,18-Dec-89,ODI # 593,ODI ,Pakistan,Bat,Bowl
India,Pakistan,Pakistan,77 runs,Eden Gardens,28-Oct-89,ODI # 589,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,38 runs,Sharjah,20-Oct-89,ODI # 577,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,6 wickets,Sharjah,15-Oct-89,ODI # 572,ODI ,India,Bat,Bat
India,Pakistan,India,4 wickets,Dhaka,31-Oct-88,ODI # 532,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,34 runs,Sharjah,19-Oct-88,ODI # 525,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,8 wickets,Sharjah,10-Apr-87,ODI # 447,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,5 wickets,Jamshedpur,26-Mar-87,ODI # 440,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,41 runs,Nagpur,24-Mar-87,ODI # 439,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,6 wickets,Pune,22-Mar-87,ODI # 438,ODI ,India,Bat,Bowl
India,Pakistan,India,,Hyderabad (Deccan),20-Mar-87,ODI # 436,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,2 wickets,Eden Gardens,18-Feb-87,ODI # 434,ODI ,India,Bat,Bowl
India,Pakistan,Pakistan,3 wickets,Indore,27-Jan-87,ODI # 426,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,3 wickets,Sharjah,5-Dec-86,ODI # 406,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,1 wicket,Sharjah,18-Apr-86,ODI # 385,ODI ,India,Bat,Bat
India,Pakistan,Pakistan,48 runs,Sharjah,17-Nov-85,ODI # 340,ODI ,India,Bat,Bat
India,Pakistan,India,38 runs,Sharjah,22-Mar-85,ODI # 321,ODI ,India,Bat,Bat
India,Pakistan,India,8 wickets,Melbourne,10-Mar-85,ODI # 319,ODI ,India,Bat,Bat
India,Pakistan,India,6 wickets,Melbourne,20-Feb-85,ODI # 309,ODI ,India,Bat,Bowl
Pakistan,India,no result,,Sialkot,31-Oct-84,ODI # 273,ODI ,Pakistan,Bat,Bat
Pakistan,India,Pakistan,46 runs,Quetta,12-Oct-84,ODI # 272,ODI ,Pakistan,Bat,Bat
India,Pakistan,India,54 runs,Sharjah,13-Apr-84,ODI # 261,ODI ,India,Bat,Bat
India,Pakistan,India,4 wickets,Jaipur,2-Oct-83,ODI # 225,ODI ,India,Bat,Bowl
India,Pakistan,India,4 wickets,Hyderabad (Deccan),10-Sep-83,ODI # 224,ODI ,India,Bat,Bat
Pakistan,India,Pakistan,8 wickets,Karachi,21-Jan-83,ODI # 172,ODI ,Pakistan,Bat,Bat
Pakistan,India,India,18 runs,Lahore,31-Dec-82,ODI # 164,ODI ,Pakistan,Bat,Bowl
Pakistan,India,Pakistan,37 runs,Multan,17-Dec-82,ODI # 163,ODI ,Pakistan,Bat,Bat
Pakistan,India,Pakistan,14 runs,Gujranwala,3-Dec-82,ODI # 162,ODI ,Pakistan,Bat,Bat
Pakistan,India,Pakistan,,Sahiwal,3-Nov-78,ODI # 56,ODI ,Pakistan,Bat,Bat
Pakistan,India,Pakistan,8 wickets,Sialkot,13-Oct-78,ODI # 55,ODI ,Pakistan,Bat,Bat
Pakistan,India,India,4 runs,Quetta,1-Oct-78,ODI # 54,ODI ,Pakistan,Bat,Bat
India,Pakistan,India,6 runs,New York,9-Jun-24,T20I # 2658,T20I ,India,Bat,Bowl
India,Pakistan,India,4 wickets,Melbourne,23-Oct-22,T20I # 1842,T20I ,India,Bat,Bowl
India,Pakistan,Pakistan,5 wickets,Dubai (DICS),4-Sep-22,T20I # 1758,T20I ,India,Bat,Bowl
India,Pakistan,India,5 wickets,Dubai (DICS),28-Aug-22,T20I # 1750,T20I ,India,Bat,Bat
India,Pakistan,Pakistan,10 wickets,Dubai (DICS),24-Oct-21,T20I # 1361,T20I ,India,Bat,Bat
India,Pakistan,India,6 wickets,Eden Gardens,19-Mar-16,T20I # 541,T20I ,India,Bat,Bat
India,Pakistan,India,5 wickets,Mirpur,27-Feb-16,T20I # 512,T20I ,India,Bat,Bowl
India,Pakistan,India,7 wickets,Mirpur,21-Mar-14,T20I # 378,T20I ,India,Bat,Bat
India,Pakistan,India,11 runs,Ahmedabad,28-Dec-12,T20I # 298,T20I ,India,Bat,Bat
India,Pakistan,Pakistan,5 wickets,Bengaluru,25-Dec-12,T20I # 296,T20I ,India,Bat,Bowl
India,Pakistan,India,8 wickets,Colombo (RPS),30-Sep-12,T20I # 282,T20I ,India,Bat,Bat
India,Pakistan,India,5 runs,Johannesburg,24-Sep-07,T20I # 46,T20I ,India,Bat,Bowl
India,Pakistan,tied,,Durban,14-Sep-07,T20I # 29,T20I ,India,Bat,Bowl
Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,23-Oct-23,ODI # 4679,ODI ,Afghanistan,Bat,Bowl
Afghanistan,Pakistan,Pakistan,59 runs,Colombo (RPS),26-Aug-23,ODI # 4627,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,1 wicket,Hambantota,24-Aug-23,ODI # 4626,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,142 runs,Hambantota,22-Aug-23,ODI # 4625,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,29-Jun-19,ODI # 4177,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,21-Sep-18,ODI # 4043,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,27-Feb-14,ODI # 3475,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,10-Feb-12,ODI # 3236,ODI ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Afghanistan,4 wickets,Hangzhou,6-Oct-23,T20I # 2297,T20I ,Afghanistan,Bat,Bowl
Afghanistan,Pakistan,Pakistan,66 runs,Sharjah,27-Mar-23,T20I # 2035,T20I ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Afghanistan,7 wickets,Sharjah,26-Mar-23,T20I # 2033,T20I ,Afghanistan,Bat,Bowl
Afghanistan,Pakistan,Afghanistan,6 wickets,Sharjah,24-Mar-23,T20I # 2030,T20I ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,7-Sep-22,T20I # 1760,T20I ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DICS),29-Oct-21,T20I # 1377,T20I ,Afghanistan,Bat,Bat
Afghanistan,Pakistan,Pakistan,6 wickets,Sharjah,8-Dec-13,T20I # 349,T20I ,Afghanistan,Bat,Bowl
Australia,Pakistan,Australia,8 wickets,Sydney,"Jan 3-6, 2024",Test # 2521,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,79 runs,Melbourne,"Dec 26-29, 2023",Test # 2519,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,360 runs,Perth,"Dec 14-17, 2023",Test # 2518,Test ,Australia,Bat,Bowl
Pakistan,Australia,Australia,115 runs,Lahore,"Mar 21-25, 2022",Test # 2458,Test ,Pakistan,Bat,Bat
Pakistan,Australia,drawn,,Karachi,"Mar 12-16, 2022",Test # 2455,Test ,Pakistan,Bat,Bowl
Pakistan,Australia,drawn,,Rawalpindi,"Mar 4-8, 2022",Test # 2453,Test ,Pakistan,Bat,Bat
Australia,Pakistan,Australia,inns & 48 runs,Adelaide,"Nov 29-Dec 2, 2019",Test # 2372,Test ,Australia,Bat,Bat
Australia,Pakistan,Australia,inns & 5 runs,Brisbane,"Nov 21-24, 2019",Test # 2368,Test ,Australia,Bat,Bowl
Australia,Pakistan,Pakistan,373 runs,Abu Dhabi,"Oct 16-19, 2018",Test # 2322,Test ,Australia,Bat,Bowl
Australia,Pakistan,drawn,,Dubai (DICS),"Oct 7-11, 2018",Test # 2320,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,220 runs,Sydney,"Jan 3-7, 2017",Test # 2245,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,inns & 18 runs,Melbourne,"Dec 26-30, 2016",Test # 2242,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,39 runs,Brisbane,"Dec 15-19, 2016",Test # 2240,Test ,Australia,Bat,Bowl
Australia,Pakistan,Pakistan,356 runs,Abu Dhabi,"Oct 30-Nov 3, 2014",Test # 2142,Test ,Australia,Bat,Bowl
Australia,Pakistan,Pakistan,221 runs,Dubai (DICS),"Oct 22-26, 2014",Test # 2140,Test ,Australia,Bat,Bowl
Australia,Pakistan,Pakistan,3 wickets,Leeds,"Jul 21-24, 2010",Test # 1965,Test ,Australia,Bat,Bat
Australia,Pakistan,Australia,150 runs,Lord's,"Jul 13-16, 2010",Test # 1963,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,231 runs,Hobart,"Jan 14-18, 2010",Test # 1947,Test ,Australia,Bat,Bowl
Australia,Pakistan,Australia,36 runs,Sydney,"Jan 3-6, 2010",Test # 1945,Test ,Australia,Bat,Bat
